snapshot_id,ticket_url_id,ticket_url,status,error_message,event_name,ticket_type_label,event_date_local,city,country,scraped_at_utc,listing_count,sold_count,wanted_count,lowest_ask,median_ask,highest_ask,average_ask
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,ok,,Kralingse Bos Festival 2026,Koningsdag,2026-04-27,Become a partner,Sell your tickets,2026-04-11T11:10:18Z,7,21,90,50.7,56.21,62.82,57.62571428571429
8,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,ok,,Kralingse Bos Festival 2026,Koningsdag,2026-04-27,Kralingse Bos,Rotterdam,2026-04-11T11:36:24Z,7,23,91,50.7,56.21,62.82,57.46857142857142
9,3,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsnacht/5803609,ok,,Kralingse Bos Festival 2026,Koningsnacht,2026-04-26,Kralingse Bos,Rotterdam,2026-04-11T11:36:33Z,2,14,72,41.88,44.085,46.29,44.085
10,4,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/early-entrance-koningsdag/5923357,ok,,Kralingse Bos Festival 2026,Early Entrance | Koningsdag,2026-04-27,Kralingse Bos,Rotterdam,2026-04-11T11:36:44Z,4,5,71,55.11,57.31,59.51,57.31
12,7,https://www.ticketswap.com/festival-tickets/soenda-festival-2026-utrecht-ruigenhoekse-polder-2026-05-30-5D4Kfqx4CYJuQi9gUvyyno/regular-tickets/4785146,ok,,Soenda Festival 2026,Regular,2026-05-30,Ruigenhoekse Polder,Utrecht,2026-04-11T11:37:05Z,20,,1647,98.09,104.7,108.01,103.80250000000001
13,1,https://www.ticketswap.com/festival-tickets/awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK/sunday-ticket-early-bird/5601999,ok,,Awakenings Festival 2026,Sunday Ticket - Early Bird,2026-07-12,Beekse Bergen,Hilvarenbeek,2026-04-11T11:37:16Z,14,17,2081,98.7,100.45,100.45,100.235
